CLIENT_GEO,PAGE_URL,PAGE_CONTEXT,PAGE_ENTITY_TYPE,TIMESTAMP,TIMESTAMP_DERIVED,UI_EVENT_SOURCE,UI_EVENT_TYPE,USER_AGENT,REPORT_ID_DERIVED
United States/null,/lightning/r/Case/5006P000005MeGtQAK/view?ws=%2Flightning%2Fr%2FCall_Transcript__c%2Fa7Z6P000007MCaxUAG%2Fview%3Fc__recordType%3Dasset%26c__input%3D29873203779%26c__contactFound%3Dfalse,one:recordHomeFlexipage2Wrapper,Case,20220606052344.61,2022-06-06T05:23:44.606Z,RangeError,error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Safari/537.36""",5006P000005MeGtQAK
China/Fujian,/lightning/r/Task/00T6P00000IMS65UAH/view,one:recordHomeFlexipage,Task,20220606052512.5,2022-06-06T05:25:12.501Z,Error,error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36""",00T6P00000IMS65UAH
United States/null,/lightning/r/Case/5006P000005RVY1QAO/view?ws=%2Flightning%2Fr%2FDispatchPendingApproval__c%2Fa0L6P000000srOJUAY%2Fview,one:recordHomeFlexipage2Wrapper,Case,20220606052710.598,2022-06-06T05:27:10.594Z,Error,error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Safari/537.36""",5006P000005RVY1QAO
United States/null,/lightning/r/Case/5006P000005RVY1QAO/view?ws=%2Flightning%2Fr%2FDispatchPendingApproval__c%2Fa0L6P000000srOJUAY%2Fview,one:recordHomeFlexipage2Wrapper,Case,20220606052710.6,2022-06-06T05:27:10.596Z,Error,error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Safari/537.36""",5006P000005RVY1QAO
United States/Texas,/lightning/r/WorkOrder/0WO6P00000277aoWAA/view,one:recordHomeFlexipage,WorkOrder,20220606052717.72,2022-06-06T05:27:17.716Z,Error,error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.5005.63 Safari/537.36""",0WO6P00000277aoWAA
United States/Texas,/lightning/r/WorkOrder/0WO6P00000277aoWAA/view,one:recordHomeFlexipage,WorkOrder,20220606052717.72,2022-06-06T05:27:17.718Z,Error,error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.5005.63 Safari/537.36""",0WO6P00000277aoWAA
United States/Texas,/lightning/r/WorkOrder/0WO6P000001uUi9WAE/view,one:recordHomeFlexipage,WorkOrder,20220606052805.65,2022-06-06T05:28:05.648Z,Error,error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.5005.63 Safari/537.36""",0WO6P000001uUi9WAE
United States/null,/lightning/r/WorkOrder/0WO6P000001r4XEWAY/view,one:recordHomeFlexipage,WorkOrder,20220606052823.035,2022-06-06T05:28:23.035Z,Error,error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.5005.63 Safari/537.36""",0WO6P000001r4XEWAY
United States/Texas,/lightning/r/WorkOrder/0WO6P00000277g8WAA/view,one:recordHomeFlexipage,WorkOrder,20220606052916.26,2022-06-06T05:29:16.261Z,Error,error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.5005.63 Safari/537.36""",0WO6P00000277g8WAA
United States/Texas,/lightning/r/WorkOrder/0WO6P00000277g8WAA/view,one:recordHomeFlexipage,WorkOrder,20220606052916.266,2022-06-06T05:29:16.263Z,Error,error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.5005.63 Safari/537.36""",0WO6P00000277g8WAA
United States/null,/lightning/r/Case/5006P000004DiBDQA0/view,one:recordHomeFlexipage2Wrapper,Case,20220606053104.37,2022-06-06T05:31:04.374Z,Error,error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.101 Safari/537.36""",5006P000004DiBDQA0
