"EVENT_TYPE","TIMESTAMP","REQUEST_ID","ORGANIZATION_ID","USER_ID","RUN_TIME","CPU_TIME","URI","SESSION_KEY","LOGIN_KEY","USER_TYPE","REQUEST_STATUS","DB_TOTAL_TIME","ENTITY_NAME","DISPLAY_TYPE","RENDERING_TYPE","REPORT_ID","ROW_COUNT","NUMBER_EXCEPTION_FILTERS","NUMBER_COLUMNS","AVERAGE_ROW_SIZE","SORT","DB_BLOCKS","DB_CPU_TIME","NUMBER_BUCKETS","TIMESTAMP_DERIVED","USER_ID_DERIVED","CLIENT_IP","URI_ID_DERIVED","REPORT_ID_DERIVED","ORIGIN"
"Report","20220620003751.063","4jch9CDhNHJaP8G-mNPlN-","00D0b000000GaMp","0050b000004KJQR","4665","123","N/A","","","Standard","","4461251851","","S","","00O0b000004kkZK","0","0","6","0","0720b000001dxwL.up","921","30","0","2022-06-20T00:37:51.063Z","0050b000004KJQRAA4","","","00O0b000004kkZKEAY","ChartRenderedInEmbeddedAnalyticsApp"
"Report","20220620003752.649","4jch9NB7FUzjStG-mNO3V-","00D0b000000GaMp","0050b000004KLsg","3310","125","N/A","","","Standard","","3103767130","","S","","00O0b000004kkZK","0","0","6","0","0720b000001dxwL.up","753","30","0","2022-06-20T00:37:52.649Z","0050b000004KLsgAAG","","","00O0b000004kkZKEAY","ChartRenderedInEmbeddedAnalyticsApp"
"Report","20220620003754.814","TID:4585011000002b14e3","00D0b000000GaMp","0050b000004KF7R","1001","226","/aura","kgKho9jjz9IjVpmq","tswM7Lwy2y0xZbNo","Standard","","1205534944","","H","","00O0b000006iNwd","106","0","20","866","","915","20","0","2022-06-20T00:37:54.814Z","0050b000004KF7RAAW","110.80.1.252","","00O0b000006iNwdEAE","ReportRunFromLightning"
"Report","20220620003756.871","TID:7268390000007e0378","00D0b000000GaMp","0050b000004K6h7","535","372","/aura","EFSbFofja1GotNs9","0uAGsUR695T7hJH2","Standard","","145374210","","H","","00O0b000004kTaz","20","0","19","774","0720b000006jdBY.up","7969","60","0","2022-06-20T00:37:56.871Z","0050b000004K6h7AAC","163.244.182.15","","00O0b000004kTazEAE","ReportRunFromLightning"
"Report","20220620003806.697","4jchA53eQ8cJFdG-mNHzJ-","00D0b000000GaMp","0052R000008E9gp","5041","125","N/A","","","Standard","","4887339825","","S","","00O0b000004kkZK","0","0","6","0","0720b000001dxwL.up","998","30","0","2022-06-20T00:38:06.697Z","0052R000008E9gpQAC","","","00O0b000004kkZKEAY","ChartRenderedInEmbeddedAnalyticsApp"
"Report","20220620003807.976","4jchARO1IiRaSOG-mNPlN-","00D0b000000GaMp","0050b000004KD5B","332","217","N/A","","","Standard","","99283887","","H","","00O2R000004BQ1b","15","0","14","590","CASE_NUMBER.up","6162","40","0","2022-06-20T00:38:07.976Z","0050b000004KD5BAAW","","","00O2R000004BQ1bUAG","DashboardComponentUpdated"
"Report","20220620003810.667","4jchAYIP2B-0yOG-mN4RE-","00D0b000000GaMp","0050b000004K6sA","1165","215","N/A","","","Standard","","1650880878","","H","","00O0b000004kTaz","13","0","14","470","0720b000001dyJw.up","5049","340","0","2022-06-20T00:38:10.667Z","0050b000004K6sAAAS","","","00O0b000004kTazEAE","DashboardComponentUpdated"
"Report","20220620003813.149","4jchAXGSsC9SL8G-mNNAk-","00D0b000000GaMp","0050b000004K6mz","3924","145","N/A","","","Standard","","3758202963","","S","","00O0b000004kkZK","0","0","6","0","0720b000001dxwL.up","697","10","0","2022-06-20T00:38:13.149Z","0050b000004K6mzAAC","","","00O0b000004kkZKEAY","ChartRenderedInEmbeddedAnalyticsApp"
"Report","20220620003819.432","TID:55305265000007811c","00D0b000000GaMp","0051P000003jYhr","665","257","/aura","CKjYpLnQHoACE481","XdXY7O9OhxzqtT55","Standard","","408410500","","H","","00O2R0000043lHL","8","0","14","664","","1036","40","0","2022-06-20T00:38:19.432Z","0051P000003jYhrQAE","163.244.246.214","","00O2R0000043lHLUAY","ReportRunFromLightning"
"Report","20220620003822.399","TID:462295200000076f8e","00D0b000000GaMp","0052R000009TqGB","7913","3494","/aura","T6Rf213dCmyh9si8","cSTfH8cGn/nofOIh","Standard","","7703715257","","H","","00O0b000005yLBG","45015","0","21","742","","1007181","3150","0","2022-06-20T00:38:22.399Z","0052R000009TqGBQA0","163.244.182.14","","00O0b000005yLBGEA2","ReportRunFromLightning"
